q,n,mu1,mu2,MaxRank,MinMaxRank
2,2,0,0,1,1
2,2,0,1,1,1
2,2,1,0,1,1
2,2,1,1,1,1
3,2,0,0,1,1
3,2,0,1,1,1
3,2,1,0,1,1
3,2,1,1,1,1
4,2,0,0,1,1
4,2,0,1,1,1
4,2,1,0,1,1
4,2,1,1,1,1
5,2,0,0,1,1
5,2,0,1,1,1
5,2,1,0,1,1
5,2,1,1,1,1
7,2,0,0,1,1
7,2,0,1,1,1
7,2,1,0,1,1
7,2,1,1,1,1
8,2,0,0,1,1
8,2,0,1,1,1
8,2,1,0,1,1
8,2,1,1,1,1
9,2,0,0,1,1
9,2,0,1,1,1
9,2,1,0,1,1
9,2,1,1,1,1
2,3,0,0,125000,3590000
2,3,0,1,125000,125000
2,3,0,2,125000,125000
2,3,1,0,1,1534
2,3,1,1,1,1
2,3,1,2,1,1
2,3,2,0,1,1534
2,3,2,1,1,1
2,3,2,2,1,1
3,3,0,0,38958219,6708053691
3,3,0,1,38958219,38958219
3,3,0,2,38958219,38958219
3,3,1,0,1,59047
3,3,1,1,1,1
3,3,1,2,1,1
3,3,2,0,1,59047
3,3,2,1,1,1
3,3,2,2,1,1
4,3,0,0,2320940224,1373954541184
4,3,0,1,2320940224,2320940224
4,3,0,2,2320940224,2320940224
4,3,1,0,1,786430
4,3,1,1,1,1
4,3,1,2,1,1
4,3,2,0,1,786430
4,3,2,1,1,1
4,3,2,2,1,1
5,3,0,0,56844576125,86511457332125
5,3,0,1,56844576125,56844576125
5,3,0,2,56844576125,56844576125
5,3,1,0,1,5859373
5,3,1,1,1,1
5,3,1,2,1,1
5,3,2,0,1,5859373
5,3,2,1,1,1
5,3,2,2,1,1
7,3,0,0,7409172712375,45994955006250775
7,3,0,1,7409172712375,7409172712375
7,3,0,2,7409172712375,7409172712375
7,3,1,0,1,121060819
7,3,1,1,1,1
7,3,1,2,1,1
7,3,2,0,1,121060819
7,3,2,1,1,1
7,3,2,2,1,1
8,3,0,0,51911814270464,560223682891375616
8,3,0,1,51911814270464,51911814270464
8,3,0,2,51911814270464,51911814270464
8,3,1,0,1,402653182
8,3,1,1,1,1
8,3,1,2,1,1
8,3,2,0,1,402653182
8,3,2,1,1,1
8,3,2,2,1,1
9,3,0,0,290762223636249,5100502697075298969
9,3,0,1,290762223636249,290762223636249
9,3,0,2,290762223636249,290762223636249
9,3,1,0,1,1162261465
9,3,1,1,1,1
9,3,1,2,1,1
9,3,2,0,1,1162261465
9,3,2,1,1,1
9,3,2,2,1,1
2,4,0,0,2608757776,3018148056016
2,4,0,1,2608757776,3018148056016
2,4,0,2,2608757776,2608757776
2,4,0,3,2608757776,2608757776
2,4,1,0,2608757776,3018148056016
2,4,1,1,2608757776,3018148056016
2,4,1,2,2608757776,2608757776
2,4,1,3,2608757776,2608757776
2,4,2,0,1,262141
2,4,2,1,1,262141
2,4,2,2,1,1
2,4,2,3,1,1
2,4,3,0,1,262141
2,4,3,1,1,262141
2,4,3,2,1,1
2,4,3,3,1,1
3,4,0,0,104988733452801,5647196082954394881
3,4,0,1,104988733452801,5647196082954394881
3,4,0,2,104988733452801,104988733452801
3,4,0,3,104988733452801,104988733452801
3,4,1,0,104988733452801,5647196082954394881
3,4,1,1,104988733452801,5647196082954394881
3,4,1,2,104988733452801,104988733452801
3,4,1,3,104988733452801,104988733452801
3,4,2,0,1,172186881
3,4,2,1,1,172186881
3,4,2,2,1,1
3,4,2,3,1,1
3,4,3,0,1,172186881
3,4,3,1,1,172186881
3,4,3,2,1,1
3,4,3,3,1,1
4,4,0,0,220758060248248576,174966794654150178893056
4,4,0,1,220758060248248576,174966794654150178893056
4,4,0,2,220758060248248576,220758060248248576
4,4,0,3,220758060248248576,220758060248248576
4,4,1,0,220758060248248576,174966794654150178893056
4,4,1,1,220758060248248576,174966794654150178893056
4,4,1,2,220758060248248576,220758060248248576
4,4,1,3,220758060248248576,220758060248248576
4,4,2,0,1,17179869181
4,4,2,1,1,17179869181
4,4,2,2,1,1
4,4,2,3,1,1
4,4,3,0,1,17179869181
4,4,3,1,1,17179869181
4,4,3,2,1,1
4,4,3,3,1,1
5,4,0,0,89795505124203450625,563016083359227425241210625
5,4,0,1,89795505124203450625,563016083359227425241210625
5,4,0,2,89795505124203450625,89795505124203450625
5,4,0,3,89795505124203450625,89795505124203450625
5,4,1,0,89795505124203450625,563016083359227425241210625
5,4,1,1,89795505124203450625,563016083359227425241210625
5,4,1,2,89795505124203450625,89795505124203450625
5,4,1,3,89795505124203450625,89795505124203450625
5,4,2,0,1,610351562497
5,4,2,1,1,610351562497
5,4,2,2,1,1
5,4,2,3,1,1
5,4,3,0,1,610351562497
5,4,3,1,1,610351562497
5,4,3,2,1,1
5,4,3,3,1,1
7,4,0,0,849350098949529603840001,117609845223664343319883914278401
7,4,0,1,849350098949529603840001,117609845223664343319883914278401
7,4,0,2,849350098949529603840001,849350098949529603840001
7,4,0,3,849350098949529603840001,849350098949529603840001
7,4,1,0,849350098949529603840001,117609845223664343319883914278401
7,4,1,1,849350098949529603840001,117609845223664343319883914278401
7,4,1,2,849350098949529603840001,849350098949529603840001
7,4,1,3,849350098949529603840001,849350098949529603840001
7,4,2,0,1,132931722278401
7,4,2,1,1,132931722278401
7,4,2,2,1,1
7,4,2,3,1,1
7,4,3,0,1,132931722278401
7,4,3,1,1,132931722278401
7,4,3,2,1,1
7,4,3,3,1,1
8,4,0,0,32933646065740458985394176,15478527419176004790415269363306496
8,4,0,1,32933646065740458985394176,15478527419176004790415269363306496
8,4,0,2,32933646065740458985394176,32933646065740458985394176
8,4,0,3,32933646065740458985394176,32933646065740458985394176
8,4,1,0,32933646065740458985394176,15478527419176004790415269363306496
8,4,1,1,32933646065740458985394176,15478527419176004790415269363306496
8,4,1,2,32933646065740458985394176,32933646065740458985394176
8,4,1,3,32933646065740458985394176,32933646065740458985394176
8,4,2,0,1,1125899906842621
8,4,2,1,1,1125899906842621
8,4,2,2,1,1
8,4,2,3,1,1
8,4,3,0,1,1125899906842621
8,4,3,1,1,1125899906842621
8,4,3,2,1,1
8,4,3,3,1,1
9,4,0,0,837280718310914860729356801,1153701504285540238509995023479503361
9,4,0,1,837280718310914860729356801,1153701504285540238509995023479503361
9,4,0,2,837280718310914860729356801,837280718310914860729356801
9,4,0,3,837280718310914860729356801,837280718310914860729356801
9,4,1,0,837280718310914860729356801,1153701504285540238509995023479503361
9,4,1,1,837280718310914860729356801,1153701504285540238509995023479503361
9,4,1,2,837280718310914860729356801,837280718310914860729356801
9,4,1,3,837280718310914860729356801,837280718310914860729356801
9,4,2,0,1,7412080755407361
9,4,2,1,1,7412080755407361
9,4,2,2,1,1
9,4,2,3,1,1
9,4,3,0,1,7412080755407361
9,4,3,1,1,7412080755407361
9,4,3,2,1,1
9,4,3,3,1,1
2,5,0,0,64345271690020209777016832,34181272048729622198912492306432
2,5,0,1,64345271690020209777016832,74135813254311236749673234432
2,5,0,2,64345271690020209777016832,74135813254311236749673234432
2,5,0,3,64345271690020209777016832,64345271690020209777016832
2,5,0,4,64345271690020209777016832,64345271690020209777016832
2,5,1,0,823901626444832,10023198296050019716106432
2,5,1,1,823901626444832,143684599919650754432
2,5,1,2,823901626444832,143684599919650754432
2,5,1,3,823901626444832,823901626444832
2,5,1,4,823901626444832,823901626444832
2,5,2,0,823901626444832,10023198296050019716106432
2,5,2,1,823901626444832,143684599919650754432
2,5,2,2,823901626444832,143684599919650754432
2,5,2,3,823901626444832,823901626444832
2,5,2,4,823901626444832,823901626444832
2,5,3,0,1,11258998565109766
2,5,3,1,1,167772156
2,5,3,2,1,167772156
2,5,3,3,1,1
2,5,3,4,1,1
2,5,4,0,1,11258998565109766
2,5,4,1,1,167772156
2,5,4,2,1,167772156
2,5,4,3,1,1
2,5,4,4,1,1
3,5,0,0,1717768018079568534384277588542840170643,2494522277868922844645619651732984294363127015443
3,5,0,1,1717768018079568534384277588542840170643,103500906155702958783174281142880926149863443
3,5,0,2,1717768018079568534384277588542840170643,103500906155702958783174281142880926149863443
3,5,0,3,1717768018079568534384277588542840170643,1717768018079568534384277588542840170643
3,5,0,4,1717768018079568534384277588542840170643,1717768018079568534384277588542840170643
3,5,1,0,21531676067313850706643,180264171115690383837129621247581415443
3,5,1,1,21531676067313850706643,3115040018038079979196813543443
3,5,1,2,21531676067313850706643,3115040018038079979196813543443
3,5,1,3,21531676067313850706643,21531676067313850706643
3,5,1,4,21531676067313850706643,21531676067313850706643
3,5,2,0,21531676067313850706643,180264171115690383837129621247581415443
3,5,2,1,21531676067313850706643,3115040018038079979196813543443
3,5,2,2,21531676067313850706643,3115040018038079979196813543443
3,5,2,3,21531676067313850706643,21531676067313850706643
3,5,2,4,21531676067313850706643,21531676067313850706643
3,5,3,0,1,7178979876905816558560851
3,5,3,1,1,4236443047211
3,5,3,2,1,4236443047211
3,5,3,3,1,1
3,5,3,4,1,1
3,5,4,0,1,7178979876905816558560851
3,5,4,1,1,4236443047211
3,5,4,2,1,4236443047211
3,5,4,3,1,1
3,5,4,4,1,1
4,5,0,0,8100666540802586911992024926163895053517349453824,2806134733265310437597446304240233094857547325157398097690624
4,5,0,1,8100666540802586911992024926163895053517349453824,7538492808472518460824975583199150144969180631084826624
4,5,0,2,8100666540802586911992024926163895053517349453824,7538492808472518460824975583199150144969180631084826624
4,5,0,3,8100666540802586911992024926163895053517349453824,8100666540802586911992024926163895053517349453824
4,5,0,4,8100666540802586911992024926163895053517349453824,8100666540802586911992024926163895053517349453824
4,5,1,0,5166022439797665355813940224,538137602044971265127650877528037532400251930624
4,5,1,1,5166022439797665355813940224,83367123732576564737410108899131674624
4,5,1,2,5166022439797665355813940224,83367123732576564737410108899131674624
4,5,1,3,5166022439797665355813940224,5166022439797665355813940224
4,5,1,4,5166022439797665355813940224,5166022439797665355813940224
4,5,2,0,5166022439797665355813940224,538137602044971265127650877528037532400251930624
4,5,2,1,5166022439797665355813940224,83367123732576564737410108899131674624
4,5,2,2,5166022439797665355813940224,83367123732576564737410108899131674624
4,5,2,3,5166022439797665355813940224,5166022439797665355813940224
4,5,2,4,5166022439797665355813940224,5166022439797665355813940224
4,5,3,0,1,12676506002282277126468429414406
4,5,3,1,1,5629499534213116
4,5,3,2,1,5629499534213116
4,5,3,3,1,1
4,5,3,4,1,1
4,5,4,0,1,12676506002282277126468429414406
4,5,4,1,1,5629499534213116
4,5,4,2,1,5629499534213116
4,5,4,3,1,1
4,5,4,4,1,1
5,5,0,0,303722365630863413344611849465579248230573956329345703125,6886298569143554219003980012271917839262299441078929110909454345703125
5,5,0,1,303722365630863413344611849465579248230573956329345703125,2286658453376241683155160231106723467030260854790909454345703125
5,5,0,2,303722365630863413344611849465579248230573956329345703125,2286658453376241683155160231106723467030260854790909454345703125
5,5,0,3,303722365630863413344611849465579248230573956329345703125,303722365630863413344611849465579248230573956329345703125
5,5,0,4,303722365630863413344611849465579248230573956329345703125,303722365630863413344611849465579248230573956329345703125
5,5,1,0,86459194563694158419758158903125,12899917358027685265373286769004837936813979089724903125
5,5,1,1,86459194563694158419758158903125,52804272192512465155153938197196364092903125
5,5,1,2,86459194563694158419758158903125,52804272192512465155153938197196364092903125
5,5,1,3,86459194563694158419758158903125,86459194563694158419758158903125
5,5,1,4,86459194563694158419758158903125,86459194563694158419758158903125
5,5,2,0,86459194563694158419758158903125,12899917358027685265373286769004837936813979089724903125
5,5,2,1,86459194563694158419758158903125,52804272192512465155153938197196364092903125
5,5,2,2,86459194563694158419758158903125,52804272192512465155153938197196364092903125
5,5,2,3,86459194563694158419758158903125,86459194563694158419758158903125
5,5,2,4,86459194563694158419758158903125,86459194563694158419758158903125
5,5,3,0,1,888178419700125227868556976318359381
5,5,3,1,1,1490116119384765621
5,5,3,2,1,1490116119384765621
5,5,3,3,1,1
5,5,3,4,1,1
5,5,4,0,1,888178419700125227868556976318359381
5,5,4,1,1,1490116119384765621
5,5,4,2,1,1490116119384765621
5,5,4,3,1,1
5,5,4,4,1,1
7,5,0,0,96668806242383261634838058774654360363154481661771865979492196584807,1111920647546048773056981052325924307768179674142746491887281001744727304515389320807
7,5,0,1,96668806242383261634838058774654360363154481661771865979492196584807,16392684444410109117319680498586402851254583996531587690072559148950538120807
7,5,0,2,96668806242383261634838058774654360363154481661771865979492196584807,16392684444410109117319680498586402851254583996531587690072559148950538120807
7,5,0,3,96668806242383261634838058774654360363154481661771865979492196584807,96668806242383261634838058774654360363154481661771865979492196584807
7,5,0,4,96668806242383261634838058774654360363154481661771865979492196584807,96668806242383261634838058774654360363154481661771865979492196584807
7,5,1,0,231146534333496049412438392118731384807,1876006904712136834722118462105365385541678036678547097923389320807
7,5,1,1,231146534333496049412438392118731384807,32925388927464397772537670487724759964279694858120807
7,5,1,2,231146534333496049412438392118731384807,32925388927464397772537670487724759964279694858120807
7,5,1,3,231146534333496049412438392118731384807,231146534333496049412438392118731384807
7,5,1,4,231146534333496049412438392118731384807,231146534333496049412438392118731384807
7,5,2,0,231146534333496049412438392118731384807,1876006904712136834722118462105365385541678036678547097923389320807
7,5,2,1,231146534333496049412438392118731384807,32925388927464397772537670487724759964279694858120807
7,5,2,2,231146534333496049412438392118731384807,32925388927464397772537670487724759964279694858120807
7,5,2,3,231146534333496049412438392118731384807,231146534333496049412438392118731384807
7,5,2,4,231146534333496049412438392118731384807,231146534333496049412438392118731384807
7,5,3,0,1,17984650426474121466182687376401534019000391
7,5,3,1,1,6705343098319824504031
7,5,3,2,1,6705343098319824504031
7,5,3,3,1,1
7,5,3,4,1,1
7,5,4,0,1,17984650426474121466182687376401534019000391
7,5,4,1,1,6705343098319824504031
7,5,4,2,1,6705343098319824504031
7,5,4,3,1,1
7,5,4,4,1,1
8,5,0,0,3716754532901293891755206610370214562934205289036536535670173113010618368,497276197412905916573048722435554613073519777647966755500004260148279034436703892765933568
8,5,0,1,3716754532901293891755206610370214562934205289036536535670173113010618368,2149565979006259134917844452670909661206248677264890688667046889495732122778861568
8,5,0,2,3716754532901293891755206610370214562934205289036536535670173113010618368,2149565979006259134917844452670909661206248677264890688667046889495732122778861568
8,5,0,3,3716754532901293891755206610370214562934205289036536535670173113010618368,3716754532901293891755206610370214562934205289036536535670173113010618368
8,5,0,4,3716754532901293891755206610370214562934205289036536535670173113010618368,3716754532901293891755206610370214562934205289036536535670173113010618368
8,5,1,0,84893927387297964805143439207630272954368,51502145908201449564047721198310902895633088100319156795334856580333568
8,5,1,1,84893927387297964805143439207630272954368,104549263926400709485651544264829660256861563099987181568
8,5,1,2,84893927387297964805143439207630272954368,104549263926400709485651544264829660256861563099987181568
8,5,1,3,84893927387297964805143439207630272954368,84893927387297964805143439207630272954368
8,5,1,4,84893927387297964805143439207630272954368,84893927387297964805143439207630272954368
8,5,2,0,84893927387297964805143439207630272954368,51502145908201449564047721198310902895633088100319156795334856580333568
8,5,2,1,84893927387297964805143439207630272954368,104549263926400709485651544264829660256861563099987181568
8,5,2,2,84893927387297964805143439207630272954368,104549263926400709485651544264829660256861563099987181568
8,5,2,3,84893927387297964805143439207630272954368,84893927387297964805143439207630272954368
8,5,2,4,84893927387297964805143439207630272954368,84893927387297964805143439207630272954368
8,5,3,0,1,14272476927059598810582293010517007006401822726
8,5,3,1,1,188894659314785808547836
8,5,3,2,1,188894659314785808547836
8,5,3,3,1,1
8,5,3,4,1,1
8,5,4,0,1,14272476927059598810582293010517007006401822726
8,5,4,1,1,188894659314785808547836
8,5,4,2,1,188894659314785808547836
8,5,4,3,1,1
8,5,4,4,1,1
